date,Content,Likes,Retweet
2020-12-20 08:54:26+00:00,https://t.co/EbOjGshvrq,363940,39109
2020-12-20 08:46:43+00:00,@CallowayTech Sounds about right,4987,88
2020-12-20 08:43:06+00:00,“Lord” Edge,33255,860
2020-12-20 08:42:00+00:00,@xDreamCoding @frank_thelen Nice branding,1598,38
2020-12-20 08:40:34+00:00,"Just kidding, who needs a safe word anyway!?",62880,1847
2020-12-20 08:21:25+00:00,Bitcoin is my safe word,219558,17907
2020-12-17 16:21:49+00:00,@SpaceX Standing down for today to inspect rocket. Hopefully launching tomorrow.,11094,313
2020-12-17 15:17:14+00:00,@SpaceX Pressure is slightly high in upper stage liquid oxygen tank. Review underway.,13345,397
2020-12-17 15:03:47+00:00,@Tesla__Mania I am hoping to be back next month!,2377,77
2020-12-17 13:47:14+00:00,@SpaceX Last launch of 2020 coming up,20973,736
2020-12-17 07:10:05+00:00,"@teslaownerssv @astonmartin @Tesla He was indeed quite grumpy, but we did not actually know what we were doing, so he had a point",2745,74
2020-12-17 06:53:33+00:00,"@teslaownerssv It will get absurdly good. Tesla AI/Autopilot engineering is awesome! There’s some great AI out there, but can it self-drive while playing Cyberpunk … ?",7281,300
2020-12-17 06:32:13+00:00,"Star Light, Star Bright https://t.co/6CeTAZSXCO",205874,26138
2020-12-17 04:43:52+00:00,@Teslarati @13ericralph31 This is incorrect,3968,116
2020-12-16 19:05:56+00:00,@pcgamer But it is visually stunning &amp; playability is good,2663,43
2020-12-16 18:09:21+00:00,"@pcgamer A t-shirt being better armor than a Kevlar chest plate doesn’t make sense in the absence of magic. Also, wish there weren’t level-based item limits in a single-player game.",3668,86
2020-12-16 16:59:48+00:00,"@cleantechnica I absolutely support trans, but all these pronouns are an esthetic nightmare",29587,1966
2020-12-16 16:36:51+00:00,"@Erdayastronaut @flightclubio The Raptors were well below max thrust or the ship would have blown through the altitude limit. As we hit min throttle point, an engine would shut off.",4779,172
2020-12-16 16:29:29+00:00,"@Erdayastronaut @flightclubio Far from fully loaded, but we were going slow or the ship would have gone crazy high/far with three engines",3519,113
2020-12-16 00:16:15+00:00,"@picot_john @CyberpunkGame It’s a good to great game imo, but improving what may seem like mere surface detail would make it unequivocally great",2547,60
2020-12-16 00:13:00+00:00,"@truth_tesla @Tesmanian_com Perhaps slightly more confident, but it’s essential to view this as output vs time. As with all manufacturing, especially new technology, output will follow an S-curve. Very slow at first, but increasing exponentially, then linear, then logarithmic.",1882,95
2020-12-15 23:11:17+00:00,@Tesmanian_com Dankeschön Brandenburg und Grünheide!,7169,152
2020-12-15 17:16:56+00:00,"@Tesmanian_com Giga Berlin-Brandenburg will be the first to use our new structural pack architecture, 4680 (world’s most advanced cells, made on-site), both front &amp; rear body castings &amp; advanced paint shop. Warning: with so much new technology, production timing is naturally harder to predict.",6988,501
2020-12-15 14:53:06+00:00,"@Dota2funny1 @CyberpunkGame Original Deus Ex was incredible, Human Revolution was also great",2697,48
2020-12-15 14:43:07+00:00,@CyberpunkGame The objective reality is that it is impossible to run an advanced game well on old hardware. This is a much more serious issue: https://t.co/OMNCTa9hJY,15716,546
2020-12-14 19:48:22+00:00,@TheOnion .@TheBabylonBee,4242,83
2020-12-14 16:15:57+00:00,Ascent to the Heavens https://t.co/oGgsw88YRZ,279308,15254
2020-12-14 16:02:30+00:00,@engineers_feed 🤣,6740,85
2020-12-14 15:57:08+00:00,"@PPathole @CyberpunkGame Yeah, briefly. Seems pretty good. I picked Nomad, so start was a little slow, but picks up fast. Seemed like almost everyone on Steam was playing Cyberpunk at some point this weekend!",11664,206
